Maturity;Instrument;Currency;Quote;UnderlyingIndex;UnderlyingTenor;UnderlyingPaymentFrequency;BasisIndex;BasisTenor;BasisPaymentFrequency;PaymentFrequencyFixed;DayCountFixed;DayCountFloat;DayCountBasis;RollConventionFixed;RollConventionFloat;RollConventionBasis;SpotLag
3Y;TBS;EUR;0,0008635;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
4Y;TBS;EUR;0,000955;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
5Y;TBS;EUR;0,001045;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
6Y;TBS;EUR;0,00109;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
7Y;TBS;EUR;0,0011025;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
8Y;TBS;EUR;0,0010975;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
9Y;TBS;EUR;0,0010725;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
10Y;TBS;EUR;0,0010375;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
15Y;TBS;EUR;0,000845;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
20Y;TBS;EUR;0,00069;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
30Y;TBS;EUR;0,000515;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
40Y;TBS;EUR;0,00041;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
50Y;TBS;EUR;0,00034;EURIBOR;6M;6M;EURIBOR;3M;3M;1Y;Act360;Act360;Act360;ModifiedFollowing;ModifiedFollowing;ModifiedFollowing;2D
